region,age_group,family_num,job,job_hk18,householder_job,income
1,50,2.0,3.0,0,3.0,150
0,30,4.0,1.0,1,11.0,350
1,40,3.0,1.0,1,2.0,350
1,30,4.0,1.0,1,3.0,230
0,60,3.0,1.0,1,5.0,500
2,50,3.0,2.0,0,7.0,150
1,30,1.0,2.0,0,2.0,350
13,30,4.0,1.0,1,3.0,300
3,40,4.0,1.0,1,4.0,600~699만원
8,60,2.0,1.0,1,16.0,200
0,40,4.0,7.0,0,13.0,525
11,40,4.0,7.0,0,13.0,150
0,30,4.0,4.0,0,3.0,600~699만원
1,40,4.0,2.0,0,1.0,280
1,60,5.0,1.0,1,16.0,580
1,40,6.0,1.0,1,13.0,400
1,40,4.0,1.0,1,11.0,350
9,60,2.0,1.0,1,16.0,150
1,60,2.0,1.0,1,4.0,260
0,50,4.0,1.0,1,4.0,600
0,40,4.0,1.0,1,1.0,500~599만원
1,30,4.0,1.0,1,3.0,150
2,40,3.0,1.0,0,2.0,150
7,50,2.0,1.0,1,0.0,250
9,50,2.0,2.0,0,13.0,240
9,50,4.0,3.0,0,3.0,500
1,30,4.0,1.0,1,4.0,350
1,30,6.0,1.0,1,2.0,450~499만원
8,50,2.0,1.0,0,4.0,1000
1,50,4.0,1.0,1,3.0,700만원이상
1,50,4.0,2.0,0,2.0,350
1,50,3.0,1.0,1,2.0,150
0,50,2.0,2.0,0,7.0,150
0,40,4.0,3.0,0,3.0,380
0,40,3.0,4.0,0,4.0,500~599만원
0,30,4.0,4.0,0,2.0,700만원이상
4,50,1.0,5.0,0,10.0,650
3,60,2.0,1.0,1,18.0,180
0,40,5.0,1.0,1,4.0,800
0,30,6.0,2.0,0,3.0,230
0,40,5.0,1.0,1,2.0,230
9,60,1.0,1.0,1,0.0,200
1,30,4.0,1.0,1,3.0,280
0,30,4.0,4.0,0,4.0,300
1,30,5.0,1.0,1,11.0,400~449만원
3,30,1.0,12.0,0,0.0,50
1,60,2.0,1.0,1,1.0,150
0,40,4.0,2.0,0,4.0,280
0,40,4.0,4.0,0,3.0,700
0,50,2.0,1.0,0,1.0,600
7,40,4.0,5.0,0,6.0,500
0,30,4.0,1.0,1,4.0,280
6,40,3.0,1.0,1,9.0,650
1,30,7.0,1.0,1,1.0,280
0,40,4.0,4.0,0,2.0,150
1,50,4.0,6.0,0,15.0,450
0,40,4.0,4.0,0,4.0,230
0,30,4.0,1.0,1,1.0,150
0,50,3.0,1.0,1,2.0,350
2,50,4.0,1.0,1,4.0,900
2,50,4.0,7.0,0,2.0,400
1,50,5.0,2.0,0,6.0,500
2,30,1.0,8.0,0,0.0,180
1,40,6.0,1.0,1,5.0,510
1,60,4.0,1.0,1,4.0,230
1,30,4.0,4.0,0,2.0,450~499만원
0,40,4.0,1.0,1,1.0,230
0,60,2.0,1.0,1,16.0,230
5,40,4.0,1.0,1,5.0,400
1,40,4.0,2.0,0,2.0,400~449만원
12,50,3.0,2.0,0,13.0,250
1,50,3.0,1.0,1,2.0,150
1,40,4.0,1.0,0,3.0,500~599만원
11,50,1.0,7.0,0,0.0,10
2,30,5.0,7.0,0,1.0,400~449만원
1,60,2.0,2.0,0,0.0,170
2,30,3.0,1.0,1,4.0,150
3,50,4.0,1.0,1,4.0,500
1,40,4.0,1.0,0,3.0,500~599만원
7,40,3.0,1.0,1,1.0,300
8,50,1.0,3.0,0,0.0,170
0,40,3.0,1.0,1,3.0,1000
0,40,4.0,1.0,1,4.0,600~699만원
0,40,3.0,1.0,0,7.0,400~449만원
0,50,4.0,3.0,0,11.0,380
1,60,3.0,1.0,1,16.0,230
1,50,4.0,1.0,1,4.0,450~499만원
1,30,4.0,1.0,1,4.0,150
1,50,1.0,10.0,0,18.0,100
1,40,5.0,1.0,1,2.0,400~449만원
2,60,2.0,1.0,1,1.0,150
1,40,5.0,1.0,1,1.0,280
1,40,3.0,5.0,0,5.0,250
1,60,3.0,4.0,0,4.0,500~599만원
5,60,5.0,15.0,0,16.0,230
2,40,4.0,3.0,0,3.0,700만원이상
0,40,4.0,1.0,1,2.0,450~499만원
3,50,3.0,1.0,1,5.0,400
0,40,4.0,4.0,0,4.0,500
0,50,1.0,8.0,0,0.0,530
1,40,4.0,2.0,0,2.0,450~499만원
3,60,2.0,17.0,0,0.0,450
4,50,3.0,16.0,0,4.0,200
14,30,5.0,1.0,1,13.0,200
2,40,4.0,1.0,1,11.0,280
0,40,4.0,9.0,0,9.0,600
0,40,3.0,1.0,1,3.0,400~449만원
3,60,2.0,1.0,1,0.0,70
2,50,3.0,5.0,0,15.0,500
0,50,4.0,1.0,0,7.0,350
6,60,1.0,5.0,0,8.0,300
0,30,4.0,1.0,1,4.0,350
1,50,3.0,1.0,0,1.0,250
1,50,4.0,4.0,0,4.0,450~499만원
1,40,4.0,2.0,0,4.0,700만원이상
1,50,3.0,7.0,0,1.0,230
1,30,1.0,6.0,0,0.0,150
0,50,4.0,1.0,1,1.0,280
12,40,4.0,1.0,1,4.0,350
0,60,3.0,1.0,1,2.0,150
1,30,4.0,1.0,1,3.0,380
1,30,4.0,1.0,1,4.0,280
5,40,4.0,5.0,0,22.0,300
0,40,3.0,1.0,0,1.0,350
1,30,4.0,1.0,1,2.0,600~699만원
3,50,3.0,1.0,1,8.0,560
1,40,4.0,1.0,1,11.0,280
1,30,4.0,1.0,1,4.0,450~499만원
6,40,5.0,1.0,1,6.0,800
1,60,4.0,1.0,0,16.0,750
8,30,4.0,8.0,0,5.0,400
9,50,3.0,1.0,0,16.0,150
0,30,1.0,2.0,0,3.0,280
1,50,5.0,5.0,0,5.0,500
1,40,4.0,1.0,1,4.0,800
2,40,3.0,5.0,0,15.0,600
6,40,4.0,2.0,0,4.0,400
1,50,2.0,13.0,0,0.0,350
0,40,4.0,1.0,1,4.0,600
0,40,4.0,1.0,1,15.0,400
5,60,4.0,1.0,1,0.0,200
0,50,5.0,1.0,1,4.0,900
7,60,2.0,7.0,0,3.0,200
1,40,5.0,1.0,1,4.0,280
0,50,4.0,1.0,1,4.0,380
2,40,4.0,1.0,0,4.0,450~499만원
0,50,3.0,1.0,1,13.0,250
2,30,4.0,1.0,1,4.0,300
1,60,1.0,14.0,0,18.0,150
0,50,5.0,1.0,0,1.0,300
0,40,2.0,3.0,0,1.0,400
0,50,2.0,1.0,1,4.0,280
0,60,2.0,1.0,1,16.0,300
3,60,2.0,1.0,1,15.0,400
2,30,1.0,12.0,0,18.0,60
0,40,3.0,5.0,0,15.0,370
1,30,4.0,1.0,1,3.0,350
0,40,5.0,4.0,0,4.0,500
2,30,5.0,1.0,1,1.0,350
0,50,3.0,1.0,0,11.0,500
0,40,3.0,2.0,0,2.0,500~599만원
0,40,4.0,1.0,1,1.0,380
0,40,4.0,4.0,0,3.0,500~599만원
2,30,4.0,1.0,1,4.0,280
3,50,4.0,1.0,0,4.0,400
0,40,3.0,1.0,0,1.0,150
0,30,4.0,1.0,1,4.0,380
0,40,4.0,1.0,0,1.0,750
2,30,5.0,1.0,1,3.0,350
1,50,4.0,1.0,0,2.0,400~449만원
2,40,4.0,1.0,1,13.0,200
0,50,4.0,1.0,0,1.0,150
2,30,4.0,1.0,1,11.0,150
0,50,2.0,1.0,1,7.0,150
1,50,4.0,1.0,0,2.0,450
0,40,4.0,10.0,0,5.0,400
13,50,2.0,1.0,0,0.0,300
7,40,4.0,10.0,0,5.0,300
0,50,3.0,2.0,0,1.0,550
0,40,4.0,7.0,0,4.0,350
2,40,3.0,1.0,1,3.0,380
0,40,4.0,6.0,0,14.0,1000
4,50,4.0,5.0,0,5.0,1000
7,60,2.0,7.0,0,4.0,200
12,50,2.0,1.0,1,19.0,300
6,50,2.0,1.0,1,15.0,450
5,50,3.0,8.0,0,0.0,400
6,30,2.0,16.0,0,6.0,200
1,30,5.0,1.0,1,11.0,350
0,50,3.0,10.0,0,18.0,300
1,50,4.0,1.0,0,1.0,280
1,40,4.0,1.0,0,1.0,500~599만원
0,30,5.0,1.0,1,1.0,150
0,30,4.0,1.0,1,4.0,230
0,30,3.0,4.0,0,4.0,370
10,30,5.0,1.0,1,13.0,320
1,30,4.0,3.0,0,1.0,280
0,50,3.0,1.0,1,8.0,200
2,30,2.0,1.0,0,11.0,150
7,40,3.0,2.0,0,11.0,270
0,40,4.0,4.0,0,3.0,280
0,40,4.0,1.0,1,2.0,500~599만원
10,30,4.0,4.0,0,1.0,200
0,50,3.0,1.0,1,4.0,230
0,50,3.0,1.0,1,3.0,380
1,40,3.0,1.0,0,1.0,230
3,40,4.0,1.0,1,20.0,300
0,40,5.0,2.0,0,4.0,350
6,50,5.0,1.0,1,8.0,500
3,60,2.0,1.0,1,1.0,300
0,40,2.0,8.0,0,5.0,400
1,60,2.0,2.0,0,14.0,350
0,30,4.0,1.0,0,4.0,280
1,40,4.0,2.0,0,2.0,400~449만원
0,50,3.0,1.0,0,1.0,300
6,50,2.0,1.0,1,16.0,190
0,30,3.0,2.0,0,2.0,230
0,50,7.0,7.0,0,1.0,600~699만원
1,30,4.0,1.0,1,4.0,380
1,50,3.0,2.0,0,8.0,470
0,40,3.0,1.0,0,1.0,400
1,30,4.0,1.0,1,2.0,600~699만원
0,40,4.0,1.0,1,4.0,350
1,30,3.0,4.0,0,0.0,600
5,30,5.0,1.0,1,3.0,650
1,50,4.0,4.0,0,4.0,700
7,40,3.0,1.0,1,5.0,300
0,60,6.0,1.0,1,6.0,500
1,40,4.0,1.0,0,1.0,420
2,50,4.0,3.0,0,2.0,250
3,60,1.0,2.0,0,0.0,100
1,40,4.0,8.0,0,5.0,400
0,40,5.0,4.0,0,3.0,700
0,50,2.0,1.0,0,19.0,360
4,60,4.0,1.0,1,2.0,300
0,40,2.0,1.0,1,1.0,400
0,40,1.0,6.0,0,18.0,138
1,50,4.0,1.0,1,1.0,500
0,50,4.0,1.0,1,15.0,500
0,60,3.0,1.0,1,2.0,150
0,50,3.0,5.0,0,6.0,1000
0,30,3.0,2.0,0,7.0,850
1,40,3.0,6.0,0,1.0,600
6,40,4.0,1.0,1,20.0,500
0,60,2.0,2.0,0,2.0,100
0,30,1.0,5.0,0,0.0,180
0,40,4.0,1.0,1,2.0,450~499만원
0,40,4.0,1.0,0,1.0,380
7,40,5.0,1.0,1,8.0,350
1,30,4.0,1.0,1,3.0,150
0,50,3.0,1.0,0,2.0,150
0,60,2.0,1.0,1,4.0,350
0,40,4.0,1.0,1,2.0,350
12,60,1.0,7.0,0,0.0,150
1,50,4.0,1.0,1,11.0,700만원이상
14,50,3.0,1.0,1,20.0,500
1,50,2.0,1.0,0,2.0,230
9,30,3.0,9.0,0,13.0,800
11,30,4.0,7.0,0,1.0,220
15,40,3.0,9.0,0,3.0,800
2,60,2.0,1.0,1,2.0,150
0,60,2.0,1.0,1,3.0,300
1,40,5.0,15.0,0,6.0,270
1,40,4.0,2.0,0,4.0,450~499만원
0,60,2.0,7.0,0,16.0,340
2,30,1.0,1.0,0,0.0,400
0,40,4.0,1.0,1,4.0,400~449만원
0,40,4.0,1.0,1,4.0,400~449만원
1,50,4.0,2.0,0,1.0,470
6,40,5.0,5.0,0,15.0,350
6,30,3.0,1.0,0,0.0,200
0,50,2.0,1.0,1,2.0,380
0,60,3.0,1.0,1,18.0,300
2,60,2.0,6.0,0,22.0,300
3,60,3.0,1.0,1,16.0,110
8,40,4.0,1.0,1,4.0,500
0,30,5.0,1.0,1,2.0,230
0,30,4.0,1.0,1,4.0,280
7,60,3.0,1.0,1,16.0,90
0,30,4.0,3.0,0,4.0,230
2,40,5.0,1.0,1,4.0,600
7,50,4.0,1.0,0,1.0,350
1,30,4.0,1.0,0,3.0,700만원이상
2,40,2.0,10.0,0,0.0,90
7,40,5.0,4.0,0,3.0,450
0,40,4.0,4.0,0,4.0,300
1,50,2.0,1.0,0,1.0,150
0,40,3.0,4.0,0,4.0,600
0,30,4.0,1.0,1,11.0,280
1,40,6.0,4.0,0,4.0,300
1,50,4.0,3.0,0,3.0,500~599만원
6,50,5.0,1.0,1,15.0,500
8,40,3.0,8.0,0,14.0,330
0,30,3.0,3.0,0,3.0,280
0,50,3.0,1.0,1,3.0,350
0,50,3.0,2.0,0,8.0,500
0,30,7.0,1.0,1,2.0,280
1,30,5.0,3.0,0,7.0,280
1,40,4.0,1.0,0,1.0,400~449만원
1,50,4.0,1.0,0,3.0,695
1,50,2.0,1.0,1,2.0,380
0,50,3.0,2.0,0,2.0,380
1,50,4.0,1.0,1,1.0,280
6,60,2.0,1.0,1,0.0,300
3,60,2.0,1.0,1,13.0,150
0,40,4.0,1.0,1,14.0,1000
3,60,2.0,1.0,1,10.0,160
12,60,2.0,1.0,1,16.0,180
0,50,3.0,1.0,1,2.0,200
2,40,4.0,1.0,1,2.0,230
8,60,3.0,7.0,0,0.0,500
0,50,4.0,3.0,0,1.0,1100
1,50,2.0,1.0,1,3.0,300
12,50,5.0,1.0,1,16.0,500
0,40,4.0,1.0,1,6.0,800
1,50,4.0,1.0,1,11.0,400
1,30,1.0,9.0,0,0.0,350
1,60,2.0,1.0,1,2.0,100
0,40,3.0,4.0,0,4.0,450~499만원
2,40,4.0,1.0,0,1.0,280
0,40,4.0,1.0,1,4.0,450~499만원
0,30,2.0,6.0,0,8.0,1000
1,60,4.0,1.0,0,11.0,400
1,40,4.0,1.0,1,3.0,330
0,40,4.0,1.0,1,4.0,450~499만원
1,50,4.0,1.0,1,15.0,1000
1,40,4.0,1.0,0,11.0,350
1,30,4.0,1.0,1,2.0,200
1,60,3.0,1.0,1,6.0,600
0,40,3.0,7.0,0,2.0,280
1,50,4.0,7.0,0,7.0,150
1,40,5.0,1.0,1,3.0,320
1,30,3.0,6.0,0,6.0,700
1,50,4.0,1.0,1,2.0,600~699만원
0,30,2.0,2.0,0,3.0,450~499만원
1,30,4.0,1.0,1,1.0,450~499만원
4,50,1.0,1.0,0,7.0,650
0,40,5.0,2.0,0,2.0,230
0,40,3.0,1.0,1,4.0,430
2,50,3.0,1.0,0,1.0,380
0,40,5.0,3.0,0,2.0,280
0,30,3.0,1.0,1,4.0,400~449만원
1,40,4.0,1.0,1,3.0,500~599만원
1,40,5.0,1.0,1,1.0,450
0,40,4.0,11.0,0,3.0,150
0,50,2.0,1.0,0,2.0,400~449만원
6,30,4.0,16.0,0,0.0,500
7,40,3.0,1.0,0,9.0,680
4,50,5.0,5.0,0,15.0,700
1,40,4.0,1.0,1,11.0,600~699만원
1,30,4.0,1.0,1,1.0,230
1,40,4.0,1.0,1,15.0,400
1,30,6.0,1.0,1,4.0,350
0,50,6.0,7.0,0,1.0,600~699만원
6,50,1.0,5.0,0,18.0,150
8,40,3.0,8.0,0,6.0,500
1,30,4.0,1.0,1,4.0,380
0,50,2.0,1.0,0,17.0,400
0,50,1.0,5.0,0,18.0,200
6,50,2.0,3.0,0,6.0,600
3,60,2.0,1.0,1,20.0,200
1,30,4.0,3.0,0,3.0,700만원이상
6,50,2.0,1.0,1,15.0,800
6,60,3.0,1.0,1,10.0,150
0,30,3.0,1.0,0,1.0,280
1,60,4.0,13.0,0,1.0,230
0,50,4.0,1.0,1,11.0,280
2,40,4.0,2.0,0,1.0,350
1,30,4.0,1.0,0,4.0,280
0,40,3.0,1.0,1,5.0,400
0,40,5.0,3.0,0,1.0,300
0,50,2.0,1.0,1,5.0,230
5,50,2.0,1.0,1,20.0,350
0,50,3.0,1.0,1,3.0,700
2,50,4.0,2.0,0,2.0,450
4,40,4.0,3.0,0,17.0,550
0,50,2.0,3.0,0,11.0,380
1,30,5.0,1.0,1,11.0,380
1,30,2.0,6.0,0,1.0,250
6,50,3.0,2.0,0,2.0,450
1,30,1.0,3.0,0,0.0,70
5,60,2.0,1.0,1,0.0,80
1,40,4.0,1.0,1,3.0,380
1,40,2.0,1.0,1,1.0,150
0,60,3.0,1.0,1,4.0,500
2,50,3.0,1.0,0,13.0,250
0,50,4.0,1.0,0,2.0,450~499만원
7,40,2.0,8.0,0,15.0,270
1,30,4.0,3.0,0,11.0,430
11,50,2.0,2.0,0,13.0,180
5,50,1.0,9.0,0,0.0,450
0,40,2.0,1.0,1,10.0,200
6,40,3.0,7.0,0,13.0,400
0,40,5.0,1.0,1,8.0,500
2,50,4.0,3.0,0,3.0,500~599만원
2,30,1.0,5.0,0,0.0,300
0,30,5.0,1.0,1,4.0,500~599만원
1,50,4.0,1.0,1,1.0,600
0,40,3.0,2.0,0,2.0,500~599만원
0,50,3.0,3.0,0,3.0,150
5,50,2.0,1.0,0,13.0,500
0,50,3.0,1.0,0,1.0,1000
0,40,3.0,1.0,0,17.0,380
0,50,2.0,10.0,0,10.0,130
0,30,3.0,1.0,1,3.0,350
2,60,2.0,1.0,1,1.0,150
2,40,3.0,1.0,0,2.0,230
3,40,4.0,4.0,0,4.0,500
0,40,3.0,3.0,0,11.0,900
0,40,5.0,1.0,0,4.0,350
0,30,4.0,1.0,1,2.0,280
0,50,4.0,1.0,1,11.0,280
1,40,4.0,2.0,0,4.0,450~499만원
5,50,2.0,5.0,0,16.0,400
1,40,4.0,1.0,1,4.0,450
0,40,4.0,1.0,1,4.0,230
0,50,2.0,1.0,1,11.0,230
0,30,5.0,1.0,1,4.0,350
1,30,4.0,9.0,0,1.0,450
1,50,5.0,5.0,0,5.0,500
1,60,2.0,1.0,1,16.0,200
1,50,4.0,2.0,0,2.0,280
3,50,2.0,3.0,0,2.0,250
0,40,5.0,5.0,0,14.0,550
1,50,4.0,1.0,1,11.0,230
1,40,3.0,1.0,0,1.0,230
1,50,3.0,2.0,0,2.0,100
1,40,1.0,6.0,0,18.0,200
0,40,4.0,1.0,0,1.0,350
0,40,4.0,1.0,1,14.0,760
1,40,4.0,2.0,0,4.0,280
1,30,2.0,4.0,0,3.0,500~599만원
0,50,5.0,5.0,0,14.0,400
4,50,3.0,2.0,0,14.0,200
1,40,3.0,1.0,1,4.0,380
2,40,3.0,5.0,0,15.0,600
3,60,1.0,1.0,1,0.0,120
0,50,4.0,1.0,1,7.0,300
1,50,5.0,5.0,0,5.0,500
0,40,4.0,3.0,0,1.0,450
0,40,4.0,9.0,0,9.0,700
1,40,5.0,1.0,1,8.0,300
1,40,3.0,2.0,0,2.0,400~449만원
0,40,4.0,2.0,0,4.0,600
1,30,4.0,1.0,1,2.0,280
0,30,3.0,1.0,0,1.0,200
0,40,4.0,1.0,0,1.0,550
8,60,2.0,19.0,0,1.0,150
5,40,3.0,1.0,1,6.0,300
2,50,3.0,5.0,0,18.0,300
1,30,4.0,1.0,1,3.0,150
4,40,4.0,1.0,1,1.0,400
2,50,5.0,1.0,0,1.0,500
0,40,5.0,2.0,0,11.0,230
0,60,3.0,1.0,1,5.0,600
12,50,2.0,19.0,0,19.0,400
4,40,4.0,6.0,0,10.0,300
0,40,6.0,8.0,0,8.0,550
1,50,4.0,3.0,0,4.0,700만원이상
1,40,4.0,1.0,1,1.0,230
1,50,3.0,3.0,0,3.0,400~449만원
1,30,4.0,1.0,1,4.0,150
0,40,4.0,3.0,0,3.0,350
1,50,4.0,1.0,0,1.0,600
1,40,5.0,4.0,0,1.0,400
2,50,4.0,1.0,1,3.0,280
12,60,1.0,1.0,1,2.0,100
0,50,3.0,1.0,1,3.0,700만원이상
8,60,4.0,1.0,1,16.0,533
0,40,4.0,1.0,0,1.0,500
2,40,4.0,1.0,1,1.0,250
14,40,6.0,9.0,0,1.0,450
1,60,4.0,1.0,1,16.0,600
0,50,3.0,1.0,1,9.0,500
0,60,2.0,1.0,1,16.0,180
0,40,3.0,1.0,0,2.0,380
13,30,4.0,1.0,1,2.0,230
0,60,6.0,2.0,0,16.0,350
0,30,2.0,3.0,0,3.0,700만원이상
1,50,3.0,1.0,0,2.0,350
0,50,3.0,1.0,1,3.0,280
12,50,2.0,1.0,1,17.0,350
1,40,4.0,1.0,0,1.0,230
0,50,3.0,1.0,1,1.0,230
3,60,2.0,3.0,0,3.0,300
0,60,3.0,1.0,1,2.0,100
0,40,4.0,1.0,1,11.0,280
2,40,3.0,1.0,0,4.0,150
0,40,4.0,1.0,1,4.0,500
1,30,7.0,5.0,0,5.0,400
0,50,3.0,1.0,1,7.0,150
6,50,2.0,8.0,0,0.0,120
2,40,3.0,1.0,1,8.0,400
2,40,4.0,1.0,1,20.0,200
0,30,5.0,1.0,1,4.0,350
2,30,1.0,2.0,0,0.0,60
0,50,2.0,1.0,1,2.0,150
1,50,4.0,5.0,0,5.0,500
1,30,3.0,1.0,1,11.0,280
1,40,4.0,1.0,1,3.0,380
1,60,2.0,1.0,1,4.0,500
6,60,3.0,1.0,1,2.0,200
1,40,4.0,2.0,0,4.0,450~499만원
0,40,3.0,4.0,0,4.0,450~499만원
10,30,5.0,1.0,1,3.0,300
2,50,3.0,2.0,0,4.0,650
0,30,4.0,1.0,1,2.0,600
1,40,6.0,6.0,0,6.0,600
1,40,4.0,11.0,0,11.0,500
1,50,4.0,2.0,0,3.0,350
1,40,3.0,2.0,0,2.0,400~449만원
1,30,1.0,8.0,0,18.0,200
0,40,4.0,1.0,1,4.0,530
0,50,3.0,1.0,1,14.0,850
0,40,3.0,1.0,1,1.0,400
0,40,4.0,1.0,1,11.0,1000
0,40,4.0,1.0,1,4.0,700만원이상
2,50,5.0,1.0,1,3.0,600~699만원
5,40,3.0,5.0,0,6.0,500
1,60,3.0,1.0,1,5.0,250
1,30,4.0,1.0,1,3.0,350
8,60,2.0,2.0,0,16.0,350
15,40,6.0,1.0,1,1.0,500
1,60,4.0,1.0,1,7.0,400
2,60,3.0,8.0,0,8.0,200
11,30,1.0,3.0,0,0.0,290
2,60,2.0,1.0,1,13.0,400
1,40,6.0,2.0,0,4.0,700
12,50,4.0,1.0,0,4.0,400
11,50,3.0,3.0,0,3.0,400
1,50,4.0,1.0,1,1.0,230
1,40,3.0,1.0,1,4.0,350
5,40,4.0,2.0,0,11.0,450
1,40,2.0,1.0,0,1.0,600
1,30,2.0,20.0,0,18.0,100
0,40,3.0,4.0,0,3.0,230
2,40,4.0,1.0,1,11.0,150
0,40,4.0,1.0,1,4.0,550
1,40,1.0,4.0,0,4.0,280
2,60,3.0,1.0,1,16.0,150
0,40,4.0,1.0,0,1.0,280
0,40,3.0,1.0,0,4.0,800
0,40,4.0,2.0,0,2.0,350
0,50,2.0,1.0,1,4.0,400
1,50,3.0,1.0,1,2.0,500
0,40,4.0,1.0,1,1.0,280
3,50,3.0,1.0,1,6.0,560
0,50,3.0,1.0,1,4.0,570
2,50,3.0,1.0,1,15.0,600
0,40,4.0,1.0,1,14.0,600
1,50,4.0,1.0,1,11.0,230
0,40,4.0,1.0,0,4.0,400~449만원
2,30,6.0,5.0,0,0.0,1200
0,40,4.0,10.0,0,5.0,450
2,40,3.0,1.0,1,11.0,230
0,40,5.0,1.0,1,14.0,350
1,40,4.0,1.0,1,2.0,500~599만원
0,30,5.0,1.0,1,11.0,280
0,40,7.0,1.0,0,11.0,230
0,40,4.0,1.0,1,4.0,420
2,60,2.0,1.0,1,7.0,60
3,40,4.0,6.0,0,8.0,700
1,50,2.0,1.0,1,3.0,380
6,40,1.0,5.0,0,18.0,300
13,30,4.0,1.0,1,3.0,270
1,50,2.0,1.0,1,4.0,500~599만원
0,30,4.0,4.0,0,11.0,350
0,30,6.0,1.0,1,3.0,380
0,30,4.0,6.0,0,16.0,330
0,50,2.0,1.0,1,17.0,900
2,50,3.0,1.0,0,1.0,350
1,30,3.0,1.0,1,6.0,400
8,30,3.0,1.0,1,20.0,230
0,60,6.0,1.0,1,11.0,280
1,40,5.0,1.0,1,1.0,400
1,30,1.0,3.0,0,0.0,270
9,50,1.0,13.0,0,0.0,230
0,50,4.0,2.0,0,2.0,500~599만원
2,30,4.0,1.0,1,4.0,280
2,60,2.0,1.0,1,2.0,150
6,30,3.0,1.0,1,8.0,200
1,40,5.0,1.0,1,3.0,150
1,60,3.0,1.0,1,2.0,450~499만원
0,60,3.0,3.0,0,0.0,370
1,40,4.0,2.0,0,1.0,350
0,40,4.0,1.0,1,1.0,600
0,30,4.0,1.0,1,11.0,200
1,40,6.0,2.0,0,11.0,650
1,40,3.0,1.0,0,0.0,250
7,40,4.0,10.0,0,22.0,480
1,40,4.0,10.0,0,5.0,700
10,30,5.0,1.0,1,3.0,330
0,50,2.0,1.0,1,4.0,700
1,50,4.0,2.0,0,1.0,500
11,30,2.0,4.0,0,3.0,400
0,30,6.0,2.0,0,2.0,350
5,50,3.0,3.0,0,3.0,600
2,60,2.0,10.0,0,22.0,250
